image_id,quality,height,width,nmae,nrmse
805,70,1536,2040,0.0026372161,0.0046608457
805,80,1536,2040,0.0029259513,0.005532636
805,95,1536,2040,0.0018206065,0.00320914
806,1,1356,2040,0.027843315,0.05141104
806,10,1356,2040,0.008515736,0.020699812
806,20,1356,2040,0.0065921955,0.015446204
806,30,1356,2040,0.0052786763,0.012575639
806,40,1356,2040,0.0040070363,0.010494529
806,50,1356,2040,0.002721235,0.008896343
806,60,1356,2040,0.0025339604,0.008363296
806,70,1356,2040,0.0026854414,0.007821795
806,80,1356,2040,0.0019984052,0.006531637
806,95,1356,2040,0.0017230498,0.005173264
807,1,1128,2040,0.08437671,0.1325158
807,10,1128,2040,0.035011396,0.054610644
807,20,1128,2040,0.02335945,0.03802302
807,30,1128,2040,0.017044608,0.03081841
807,40,1128,2040,0.015681373,0.026761036
807,50,1128,2040,0.013729166,0.024477303
807,60,1128,2040,0.015602851,0.02364153
807,70,1128,2040,0.010256191,0.018486321
807,80,1128,2040,0.007868141,0.0143042505
807,95,1128,2040,0.004857057,0.010676752
808,1,1356,2040,0.0245304,0.03259926
808,10,1356,2040,0.003960028,0.006275277
808,20,1356,2040,0.0030135002,0.004472358
808,30,1356,2040,0.0019964266,0.0032068773
808,40,1356,2040,0.0026577637,0.0038510438
808,50,1356,2040,0.0029040081,0.0043271054
808,60,1356,2040,0.0022249569,0.0033453037
808,70,1356,2040,0.0016860386,0.0025747807
808,80,1356,2040,0.00126539,0.002075147
808,95,1356,2040,0.0007688449,0.0012052607
809,1,1356,2040,0.016083036,0.03619687
809,10,1356,2040,0.0099860625,0.018494979
809,20,1356,2040,0.004686174,0.009555486
809,30,1356,2040,0.0047645313,0.009248152
809,40,1356,2040,0.003923387,0.007786912
809,50,1356,2040,0.003947449,0.007323944
809,60,1356,2040,0.0031378223,0.006801121
809,70,1356,2040,0.0026930647,0.005514594
809,80,1356,2040,0.001998434,0.004256176
809,95,1356,2040,0.00083008583,0.0019174435
810,1,1536,2040,0.022212878,0.047640618
810,10,1536,2040,0.0055428734,0.020841973
810,20,1536,2040,0.00691932,0.015242138
810,30,1536,2040,0.007572801,0.012906557
810,40,1536,2040,0.0062452727,0.010090794
810,50,1536,2040,0.004956906,0.009255117
810,60,1536,2040,0.00496921,0.008166734
810,70,1536,2040,0.003428743,0.006655364
810,80,1536,2040,0.0035052185,0.0055066347
810,95,1536,2040,0.0010994669,0.00250739
811,1,1356,2040,0.116538875,0.13371521
811,10,1356,2040,0.020349806,0.026703052
811,20,1356,2040,0.011706964,0.018576136
811,30,1356,2040,0.010060696,0.013872199
811,40,1356,2040,0.0055181133,0.010247842
811,50,1356,2040,0.0030918631,0.007370969
811,60,1356,2040,0.0062808814,0.008940385
811,70,1356,2040,0.0022598312,0.005728046
811,80,1356,2040,0.0034129967,0.006148785
811,95,1356,2040,0.0016315328,0.0038680455
812,1,1536,2040,0.009957822,0.024531057
812,10,1536,2040,0.011131808,0.023245974
812,20,1536,2040,0.008370251,0.012962773
812,30,1536,2040,0.0068536005,0.011970488
812,40,1536,2040,0.0063823177,0.009823515
812,50,1536,2040,0.0048410255,0.0073888227
812,60,1536,2040,0.004635453,0.008188593
812,70,1536,2040,0.0029573336,0.0049176114
812,80,1536,2040,0.0020727492,0.00462092
812,95,1536,2040,0.0009174101,0.0021689537
813,1,1464,2040,0.030697575,0.040929463
813,10,1464,2040,0.013367363,0.020647433
813,20,1464,2040,0.014435222,0.017578801
813,30,1464,2040,0.009597496,0.012319089
813,40,1464,2040,0.00987311,0.011629276
813,50,1464,2040,0.009327122,0.011131053
813,60,1464,2040,0.009061662,0.010447094
813,70,1464,2040,0.006350396,0.008082907
813,80,1464,2040,0.0058592153,0.0070689823
813,95,1464,2040,0.0012991654,0.0021571047
814,1,1356,2040,0.02366313,0.058380548
814,10,1356,2040,0.0025989416,0.0063388366
814,20,1356,2040,0.002469737,0.0055341274
814,30,1356,2040,0.003727159,0.007035655
814,40,1356,2040,0.002575125,0.004989923
814,50,1356,2040,0.0017575701,0.0035443623
814,60,1356,2040,0.0017753268,0.0034397629
814,70,1356,2040,0.001690561,0.003550866
814,80,1356,2040,0.00081223,0.0020894122
814,95,1356,2040,0.0004176234,0.0013402388
815,1,1356,2040,0.045767616,0.07283972
815,10,1356,2040,0.019719038,0.030277072
815,20,1356,2040,0.011836145,0.01910687
815,30,1356,2040,0.0076738726,0.013329767
815,40,1356,2040,0.0062242555,0.010560854
815,50,1356,2040,0.0068376227,0.011144245
815,60,1356,2040,0.006066322,0.009664559
815,70,1356,2040,0.0052197296,0.00890834
815,80,1356,2040,0.005334909,0.008623535
815,95,1356,2040,0.0023544324,0.004561938
816,1,1356,2040,0.03035689,0.047934785
816,10,1356,2040,0.037617035,0.04063142
816,20,1356,2040,0.011544614,0.0138451755
816,30,1356,2040,0.013395788,0.014798447
816,40,1356,2040,0.016274106,0.017029893
816,50,1356,2040,0.01197351,0.013246882
816,60,1356,2040,0.012159528,0.013067655
816,70,1356,2040,0.009975507,0.010930973
816,80,1356,2040,0.005120178,0.0062775128
816,95,1356,2040,0.0011494305,0.0017985663
817,1,1536,2040,0.058950275,0.083431676
817,10,1536,2040,0.022896579,0.039152984
817,20,1536,2040,0.016216736,0.022426315
817,30,1536,2040,0.015379341,0.01930047
817,40,1536,2040,0.0151677625,0.018445559
817,50,1536,2040,0.0070326542,0.010857224
817,60,1536,2040,0.0071380655,0.010481047
817,70,1536,2040,0.005754288,0.008135617
817,80,1536,2040,0.0025975334,0.0046166778
817,95,1536,2040,0.0014670095,0.0028947932
818,1,1536,2040,0.019685416,0.028211864
818,10,1536,2040,0.0052519427,0.009051742
818,20,1536,2040,0.00512729,0.008259115
818,30,1536,2040,0.004869463,0.007471214
818,40,1536,2040,0.0036805943,0.005701164
818,50,1536,2040,0.0026720455,0.0044749235
818,60,1536,2040,0.0024805455,0.0044024154
818,70,1536,2040,0.002397419,0.0041041896
818,80,1536,2040,0.0012719964,0.0025453954
818,95,1536,2040,0.000896467,0.0017753561
819,1,1356,2040,0.023209691,0.03404768
819,10,1356,2040,0.012731118,0.02015976
819,20,1356,2040,0.011016735,0.0132394815
819,30,1356,2040,0.012597892,0.015114488
819,40,1356,2040,0.009853702,0.0110274125
819,50,1356,2040,0.008497715,0.009643795
819,60,1356,2040,0.00858789,0.009640034
819,70,1356,2040,0.0071212067,0.008051895
819,80,1356,2040,0.0051872768,0.005885532
819,95,1356,2040,0.0021696666,0.0028486757
820,1,1356,2040,0.025385963,0.03388598
820,10,1356,2040,0.005845948,0.0109680835
820,20,1356,2040,0.007847416,0.010742744
820,30,1356,2040,0.0072889496,0.009636325
820,40,1356,2040,0.0068351873,0.009238535
820,50,1356,2040,0.0065259566,0.008509203
820,60,1356,2040,0.0065567764,0.008488461
